  EUV fluxes summed into user specified bins
 Bin     WL_LO    WL_HI    Ave_A    Ave_nm  Flux(ph/cm2/s)   Flux(W/m2/nm)
    1     0.00    10.00     5.00     0.50      1.000E+01      3.972E-11
    2    10.00    20.00    15.00     1.50      1.913E+07      2.532E-05
    3    20.00    30.00    25.00     2.50      6.630E+07      5.267E-05
    4    30.00    40.00    35.00     3.50      2.231E+07      1.266E-05
    5    40.00    50.00    45.00     4.50      1.313E+08      5.795E-05
    6    50.00    60.00    55.00     5.50      2.026E+08      7.314E-05
    7    60.00    70.00    65.00     6.50      2.555E+08      7.806E-05
    8    70.00    80.00    75.00     7.50      2.764E+08      7.320E-05
    9    80.00    90.00    85.00     8.50      3.831E+08      8.949E-05
   10    90.00   100.00    95.00     9.50      3.470E+08      7.254E-05
   11   100.00   110.00   105.00    10.50      1.671E+08      3.160E-05
   12   110.00   120.00   115.00    11.50      5.952E+07      1.028E-05
   13   120.00   130.00   125.00    12.50      4.943E+07      7.853E-06
   14   130.00   140.00   135.00    13.50      2.994E+07      4.404E-06
   15   140.00   150.00   145.00    14.50      2.151E+08      2.946E-05
   16   150.00   160.00   155.00    15.50      2.126E+08      2.724E-05
   17   160.00   170.00   165.00    16.50      3.003E+08      3.614E-05
   18   170.00   180.00   175.00    17.50      2.035E+09      2.310E-04
   19   180.00   190.00   185.00    18.50      2.049E+09      2.199E-04
   20   190.00   200.00   195.00    19.50      1.566E+09      1.595E-04
   21   200.00   210.00   205.00    20.50      8.393E+08      8.130E-05
   22   210.00   220.00   215.00    21.50      7.642E+08      7.059E-05
   23   220.00   230.00   225.00    22.50      7.700E+08      6.796E-05
   24   230.00   240.00   235.00    23.50      5.937E+08      5.017E-05
   25   240.00   250.00   245.00    24.50      1.527E+09      1.238E-04
   26   250.00   260.00   255.00    25.50      1.753E+09      1.366E-04
   27   260.00   270.00   265.00    26.50      3.255E+08      2.439E-05
   28   270.00   280.00   275.00    27.50      6.790E+08      4.904E-05
   29   280.00   290.00   285.00    28.50      9.450E+08      6.585E-05
   30   290.00   300.00   295.00    29.50      3.593E+08      2.419E-05
   31   300.00   310.00   305.00    30.50      8.667E+09      5.643E-04
   32   310.00   320.00   315.00    31.50      3.961E+08      2.497E-05
   33   320.00   330.00   325.00    32.50      2.113E+07      1.291E-06
   34   330.00   340.00   335.00    33.50      5.747E+08      3.407E-05
   35   340.00   350.00   345.00    34.50      4.542E+08      2.614E-05
   36   350.00   360.00   355.00    35.50      2.004E+08      1.121E-05
   37   360.00   370.00   365.00    36.50      1.093E+09      5.945E-05
   38   370.00   380.00   375.00    37.50      1.000E+01      5.296E-13
   39   380.00   390.00   385.00    38.50      1.000E+01      5.158E-13
   40   390.00   400.00   395.00    39.50      2.551E+07      1.283E-06
   41   400.00   410.00   405.00    40.50      1.878E+08      9.210E-06
   42   410.00   420.00   415.00    41.50      3.150E+07      1.507E-06
   43   420.00   430.00   425.00    42.50      2.800E+06      1.308E-07
   44   430.00   440.00   435.00    43.50      2.182E+08      9.960E-06
   45   440.00   450.00   445.00    44.50      6.969E+06      3.110E-07
   46   450.00   460.00   455.00    45.50      1.411E+07      6.160E-07
   47   460.00   470.00   465.00    46.50      3.622E+08      1.547E-05
   48   470.00   480.00   475.00    47.50      3.929E+07      1.642E-06
   49   480.00   490.00   485.00    48.50      8.076E+07      3.307E-06
   50   490.00   500.00   495.00    49.50      2.549E+08      1.023E-05
   51   500.00   510.00   505.00    50.50      1.937E+08      7.617E-06
   52   510.00   520.00   515.00    51.50      3.531E+07      1.362E-06
   53   520.00   530.00   525.00    52.50      1.568E+08      5.931E-06
   54   530.00   540.00   535.00    53.50      1.436E+08      5.332E-06
   55   540.00   550.00   545.00    54.50      1.000E+01      3.644E-13
   56   550.00   560.00   555.00    55.50      8.655E+08      3.097E-05
   57   560.00   570.00   565.00    56.50      1.439E+08      5.060E-06
   58   570.00   580.00   575.00    57.50      1.000E+01      3.454E-13
   59   580.00   590.00   585.00    58.50      1.417E+09      4.812E-05
   60   590.00   600.00   595.00    59.50      1.515E+08      5.057E-06
   61   600.00   610.00   605.00    60.50      7.238E+08      2.376E-05
   62   610.00   620.00   615.00    61.50      3.487E+07      1.126E-06
   63   620.00   630.00   625.00    62.50      2.016E+09      6.407E-05
   64   630.00   640.00   635.00    63.50      2.088E+06      6.530E-08
   65   640.00   650.00   645.00    64.50      8.848E+07      2.724E-06
   66   650.00   660.00   655.00    65.50      2.497E+07      7.570E-07
   67   660.00   670.00   665.00    66.50      2.683E+07      8.012E-07
   68   670.00   680.00   675.00    67.50      8.571E+06      2.522E-07
   69   680.00   690.00   685.00    68.50      1.777E+08      5.153E-06
   70   690.00   700.00   695.00    69.50      1.306E+07      3.731E-07
   71   700.00   710.00   705.00    70.50      3.955E+08      1.114E-05
   72   710.00   720.00   715.00    71.50      7.512E+07      2.087E-06
   73   720.00   730.00   725.00    72.50      1.826E+07      5.003E-07
   74   730.00   740.00   735.00    73.50      2.362E+07      6.382E-07
   75   740.00   750.00   745.00    74.50      3.032E+07      8.082E-07
   76   750.00   760.00   755.00    75.50      1.055E+08      2.776E-06
   77   760.00   770.00   765.00    76.50      3.974E+08      1.032E-05
   78   770.00   780.00   775.00    77.50      4.150E+08      1.063E-05
   79   780.00   790.00   785.00    78.50      6.526E+08      1.651E-05
   80   790.00   800.00   795.00    79.50      5.711E+08      1.427E-05
   81   800.00   810.00   805.00    80.50      1.276E+08      3.148E-06
   82   810.00   820.00   815.00    81.50      1.641E+08      3.999E-06
   83   820.00   830.00   825.00    82.50      2.115E+08      5.090E-06
   84   830.00   840.00   835.00    83.50      9.591E+08      2.281E-05
   85   840.00   850.00   845.00    84.50      3.506E+08      8.240E-06
   86   850.00   860.00   855.00    85.50      4.534E+08      1.053E-05
