proposed low resolution bins(angstroms)
37 1.0  = 20 bins, units of A so scale by 1.
    0.50      4.00
    4.00      8.00
    8.00     18.00       
   18.00     32.00      
   32.00     70.00       
   70.00    155.00       
  155.00    224.00      
  224.00    290.00
  290.00    320.00       
  320.00    540.00       
  540.00    650.00       
  650.00    798.00       
  650.00    798.00       
  798.00    913.00      
  798.00    913.00      
  798.00    913.00      
  913.00    975.00      
  913.00    975.00      
  913.00    975.00      
  975.00    987.00       
  987.00   1027.00     
 1027.00   1050.00      
 1050.00   1100.00
 1100.00   1150.00
 1150.00   1200.00
 1215.67   1215.67
 1200.00   1250.00
 1250.00   1300.00
 1300.00   1350.00
 1350.00   1400.00
 1400.00   1450.00
 1450.00   1500.00
 1500.00   1550.00
 1550.00   1600.00
 1600.00   1650.00
 1650.00   1700.00
 1700.00   1750.00
