   Wavelength    N2 abs        N2+     N+ (from N2)  N2 ion      O2 abs        O2+     O+ (from O2)  O2 ion       N ion
      23.70       0.798       0.798       0.000       0.798       0.070       0.070       0.000       0.070       0.000
      28.47       0.959       0.959       0.000       0.959       0.127       0.127       0.000       0.127       0.000
      28.79       0.970       0.970       0.000       0.970       0.131       0.131       0.000       0.131       0.000
      29.52       0.995       0.995       0.000       0.995       0.139       0.139       0.000       0.139       0.000
      30.00       1.011       0.607       0.404       1.011       0.145       0.145       0.000       0.145       0.000
      30.02       1.012       0.607       0.405       1.012       0.145       0.145       0.000       0.145       0.000
      30.27       1.020       0.612       0.408       1.020       0.148       0.148       0.000       0.148       0.000
      30.43       0.909       0.545       0.363       0.909       0.150       0.150       0.000       0.150       0.000
      31.00       0.512       0.307       0.205       0.512       0.157       0.157       0.000       0.157       0.038
      31.62       0.080       0.048       0.032       0.080       0.164       0.164       0.000       0.164       0.040
      33.74       0.096       0.058       0.038       0.096       0.190       0.190       0.000       0.190       0.047
      35.40       0.108       0.065       0.043       0.108       0.209       0.209       0.000       0.209       0.052
      40.95       0.150       0.090       0.060       0.150       0.275       0.275       0.000       0.275       0.073
      41.30       0.153       0.092       0.061       0.153       0.280       0.280       0.000       0.280       0.074
      43.76       0.171       0.103       0.068       0.171       0.309       0.309       0.000       0.309       0.084
      44.02       0.173       0.104       0.069       0.173       0.312       0.312       0.000       0.312       0.085
      44.16       0.174       0.104       0.070       0.174       0.314       0.314       0.000       0.314       0.085
      44.20       0.174       0.105       0.070       0.174       0.314       0.314       0.000       0.314       0.085
      44.30       0.175       0.105       0.070       0.175       0.315       0.315       0.000       0.315       0.086
      44.70       0.178       0.107       0.071       0.178       0.320       0.320       0.000       0.320       0.088
      45.30       0.184       0.111       0.074       0.184       0.333       0.333       0.000       0.333       0.090
      45.66       0.188       0.113       0.075       0.188       0.341       0.341       0.000       0.341       0.092
      45.90       0.191       0.114       0.076       0.191       0.346       0.346       0.000       0.346       0.093
      46.40       0.196       0.118       0.078       0.196       0.356       0.356       0.000       0.356       0.096
      46.67       0.199       0.119       0.079       0.199       0.362       0.362       0.000       0.362       0.097
      47.70       0.209       0.126       0.083       0.209       0.384       0.384       0.000       0.384       0.102
      47.87       0.211       0.127       0.084       0.211       0.388       0.388       0.000       0.388       0.103
      49.22       0.225       0.136       0.090       0.225       0.417       0.417       0.000       0.417       0.110
      49.60       0.229       0.138       0.091       0.229       0.425       0.425       0.000       0.425       0.112
      50.36       0.237       0.143       0.094       0.237       0.441       0.441       0.000       0.441       0.116
      50.52       0.239       0.144       0.095       0.239       0.445       0.445       0.000       0.445       0.117
      50.69       0.241       0.145       0.096       0.241       0.449       0.449       0.000       0.449       0.118
      51.70       0.251       0.152       0.100       0.251       0.470       0.470       0.000       0.470       0.123
      52.30       0.258       0.155       0.102       0.258       0.483       0.483       0.000       0.483       0.126
      52.34       0.258       0.156       0.102       0.258       0.484       0.484       0.000       0.484       0.127
      52.91       0.266       0.160       0.105       0.266       0.498       0.498       0.000       0.498       0.130
      53.90       0.280       0.169       0.111       0.280       0.523       0.523       0.000       0.523       0.136
      54.15       0.283       0.171       0.112       0.283       0.530       0.530       0.000       0.530       0.137
      54.42       0.287       0.173       0.114       0.287       0.537       0.537       0.000       0.537       0.139
      54.70       0.291       0.176       0.115       0.291       0.544       0.544       0.000       0.544       0.140
      55.06       0.296       0.179       0.117       0.296       0.553       0.553       0.000       0.553       0.142
      55.34       0.300       0.181       0.119       0.300       0.560       0.560       0.000       0.560       0.144
      56.08       0.310       0.188       0.123       0.310       0.578       0.578       0.000       0.578       0.148
      56.40       0.315       0.190       0.124       0.315       0.587       0.587       0.000       0.587       0.150
      56.92       0.322       0.195       0.127       0.322       0.600       0.600       0.000       0.600       0.153
      57.36       0.328       0.199       0.130       0.328       0.611       0.611       0.000       0.611       0.156
      57.56       0.331       0.200       0.131       0.331       0.616       0.616       0.000       0.616       0.158
      57.88       0.335       0.203       0.132       0.335       0.624       0.624       0.000       0.624       0.160
      58.96       0.350       0.212       0.138       0.350       0.651       0.651       0.000       0.651       0.167
      59.00       0.351       0.213       0.138       0.351       0.652       0.652       0.000       0.652       0.167
      59.62       0.360       0.218       0.142       0.360       0.668       0.668       0.000       0.668       0.171
      60.30       0.369       0.224       0.145       0.369       0.685       0.685       0.000       0.685       0.176
      60.85       0.377       0.229       0.148       0.377       0.699       0.699       0.000       0.699       0.179
      61.07       0.380       0.230       0.149       0.380       0.704       0.704       0.000       0.704       0.181
      61.63       0.388       0.235       0.152       0.388       0.719       0.719       0.000       0.719       0.185
      61.90       0.391       0.238       0.154       0.391       0.725       0.725       0.000       0.725       0.186
      62.00       0.393       0.238       0.154       0.393       0.728       0.728       0.000       0.728       0.187
      62.30       0.397       0.241       0.156       0.397       0.735       0.735       0.000       0.735       0.189
      62.35       0.398       0.241       0.156       0.398       0.737       0.737       0.000       0.737       0.190
      62.77       0.404       0.245       0.158       0.404       0.747       0.747       0.000       0.747       0.193
      62.92       0.406       0.246       0.159       0.406       0.751       0.751       0.000       0.751       0.194
      63.16       0.409       0.248       0.161       0.409       0.757       0.757       0.000       0.757       0.195
      63.30       0.411       0.250       0.161       0.411       0.761       0.761       0.000       0.761       0.196
      63.65       0.416       0.253       0.163       0.416       0.770       0.770       0.000       0.770       0.199
      63.72       0.417       0.253       0.163       0.417       0.771       0.771       0.000       0.771       0.200
      64.11       0.422       0.257       0.166       0.422       0.781       0.781       0.000       0.781       0.202
      64.38       0.426       0.259       0.167       0.426       0.788       0.788       0.000       0.788       0.204
      64.60       0.429       0.261       0.168       0.429       0.796       0.796       0.000       0.796       0.206
      65.21       0.437       0.266       0.171       0.437       0.818       0.818       0.000       0.818       0.210
      65.30       0.438       0.266       0.172       0.438       0.821       0.821       0.000       0.821       0.211
      65.71       0.443       0.270       0.174       0.443       0.836       0.836       0.000       0.836       0.214
      65.85       0.445       0.271       0.174       0.445       0.841       0.841       0.000       0.841       0.215
      66.30       0.451       0.275       0.176       0.451       0.857       0.857       0.000       0.857       0.219
      67.14       0.462       0.281       0.181       0.462       0.887       0.887       0.000       0.887       0.225
      67.35       0.465       0.283       0.182       0.465       0.895       0.895       0.000       0.895       0.226
      67.60       0.468       0.285       0.183       0.468       0.904       0.904       0.000       0.904       0.228
      68.35       0.484       0.295       0.189       0.484       0.926       0.926       0.000       0.926       0.234
      68.90       0.495       0.302       0.193       0.495       0.943       0.943       0.000       0.943       0.238
      69.65       0.511       0.312       0.199       0.511       0.965       0.965       0.000       0.965       0.244
      70.00       0.518       0.316       0.202       0.518       0.975       0.975       0.000       0.975       0.247
      70.54       0.529       0.323       0.206       0.529       0.991       0.991       0.000       0.991       0.252
      70.75       0.534       0.326       0.208       0.534       0.997       0.997       0.000       0.997       0.254
      71.00       0.539       0.329       0.210       0.539       1.005       1.005       0.000       1.005       0.256
      71.94       0.559       0.341       0.217       0.559       1.033       1.033       0.000       1.033       0.264
      72.19       0.564       0.345       0.219       0.564       1.040       1.040       0.000       1.040       0.266
      72.31       0.566       0.346       0.220       0.566       1.044       1.044       0.000       1.044       0.267
