Lamda (A)    ABS_N(megabarns)    ABS_N2(megabarns)
     0.433645  2.55872e-06  5.11743e-06
     0.440660  2.69627e-06  5.39253e-06
     0.447787  2.84125e-06  5.68250e-06
     0.455029  2.99407e-06  5.98814e-06
     0.462389  3.15515e-06  6.31031e-06
     0.469869  3.32496e-06  6.64991e-06
     0.477467  3.50393e-06  7.00787e-06
     0.485190  3.69260e-06  7.38520e-06
     0.493037  3.89151e-06  7.78302e-06
     0.501012  4.10123e-06  8.20246e-06
     0.509116  4.32231e-06  8.64463e-06
     0.517351  4.55539e-06  9.11077e-06
     0.525718  4.80114e-06  9.60228e-06
     0.534222  5.06024e-06  1.01205e-05
     0.542862  5.33346e-06  1.06669e-05
     0.551643  5.62152e-06  1.12430e-05
     0.560564  5.92528e-06  1.18506e-05
     0.569630  6.24561e-06  1.24912e-05
     0.578845  6.58343e-06  1.31669e-05
     0.588207  6.93966e-06  1.38793e-05
     0.597722  7.31537e-06  1.46307e-05
     0.607388  7.71160e-06  1.54232e-05
     0.617212  8.12954e-06  1.62591e-05
     0.627194  8.56763e-06  1.71353e-05
     0.637341  9.03264e-06  1.80653e-05
     0.647649  9.52310e-06  1.90462e-05
     0.658124  1.00404e-05  2.00809e-05
     0.668767  1.05860e-05  2.11720e-05
     0.679585  1.11615e-05  2.23230e-05
     0.690577  1.17683e-05  2.35365e-05
     0.701744  1.24081e-05  2.48162e-05
     0.713098  1.30828e-05  2.61655e-05
     0.724631  1.37940e-05  2.75879e-05
     0.736350  1.45437e-05  2.90875e-05
     0.748260  1.53341e-05  3.06681e-05
     0.760362  1.61671e-05  3.23342e-05
     0.772663  1.70452e-05  3.40904e-05
     0.785161  1.79705e-05  3.59410e-05
     0.797858  1.89456e-05  3.78912e-05
     0.810761  1.99730e-05  3.99459e-05
     0.823875  2.10556e-05  4.21111e-05
     0.837199  2.21961e-05  4.43923e-05
     0.850746  2.33978e-05  4.67957e-05
     0.864502  2.46636e-05  4.93272e-05
     0.878487  2.59970e-05  5.19939e-05
     0.892694  2.74013e-05  5.48025e-05
     0.907135  2.88804e-05  5.77609e-05
     0.921805  3.04381e-05  6.08761e-05
     0.936716  3.20784e-05  6.41569e-05
     0.951862  3.38055e-05  6.76111e-05
     0.967264  3.56245e-05  7.12489e-05
     0.982907  3.75392e-05  7.50785e-05
     0.998808  3.95553e-05  7.91105e-05
      1.01496  4.16772e-05  8.33545e-05
      1.03138  4.39116e-05  8.78231e-05
      1.04806  4.62629e-05  9.25257e-05
      1.06501  4.87380e-05  9.74760e-05
      1.08224  5.13429e-05  0.000102686
      1.09974  5.40841e-05  0.000108168
      1.11752  5.69688e-05  0.000113938
      1.13560  6.00047e-05  0.000120009
      1.15397  6.31992e-05  0.000126398
      1.17263  6.65600e-05  0.000133120
      1.19160  7.00959e-05  0.000140192
      1.21087  7.38161e-05  0.000147632
      1.23046  7.77300e-05  0.000155460
      1.25036  8.18466e-05  0.000163693
      1.27058  8.61765e-05  0.000172353
      1.29113  9.07321e-05  0.000181464
      1.31202  9.55212e-05  0.000191042
      1.33324  0.000100560  0.000201120
      1.35480  0.000105859  0.000211717
      1.37671  0.000111430  0.000222860
      1.39898  0.000117290  0.000234579
      1.42161  0.000123450  0.000246900
      1.44460  0.000129928  0.000259856
      1.46797  0.000136740  0.000273480
      1.49171  0.000143899  0.000287797
      1.51584  0.000151427  0.000302854
      1.54036  0.000159341  0.000318682
      1.56527  0.000167659  0.000335317
      1.59059  0.000176402  0.000352805
      1.61631  0.000185593  0.000371186
      1.64246  0.000195253  0.000390506
      1.66902  0.000205405  0.000410809
      1.69602  0.000216075  0.000432150
      1.72345  0.000227290  0.000454581
      1.75132  0.000239075  0.000478150
      1.77965  0.000251449  0.000502899
      1.80844  0.000264460  0.000528920
      1.83768  0.000278122  0.000556243
      1.86741  0.000292492  0.000584985
      1.89761  0.000307589  0.000615179
      1.92831  0.000323442  0.000646884
      1.95949  0.000340090  0.000680180
      1.99119  0.000357581  0.000715161
      2.02339  0.000375960  0.000751919
      2.05612  0.000395271  0.000790543
      2.08938  0.000415545  0.000831089
      2.12317  0.000436850  0.000873701
      2.15751  0.000459218  0.000918436
      2.19240  0.000482711  0.000965421
      2.22786  0.000507368   0.00101474
      2.26390  0.000533284   0.00106657
      2.30052  0.000560495   0.00112099
      2.33773  0.000589056   0.00117811
      2.37554  0.000619062   0.00123812
      2.41396  0.000650551   0.00130110
      2.45300  0.000683616   0.00136723
      2.49268  0.000718334   0.00143667
      2.53300  0.000754781   0.00150956
      2.57397  0.000793057   0.00158611
      2.61560  0.000833216   0.00166643
      2.65790  0.000875394   0.00175079
      2.70090  0.000919658   0.00183932
      2.74458  0.000966120   0.00193224
      2.78897   0.00101489   0.00202978
      2.83407   0.00106607   0.00213214
      2.87992   0.00111979   0.00223959
      2.92650   0.00117618   0.00235236
      2.97383   0.00123533   0.00247066
      3.02193   0.00129743   0.00259486
      3.07080   0.00136258   0.00272515
      3.12048   0.00143116   0.00286232
      3.17095   0.00150287   0.00300574
      3.22223   0.00157808   0.00315616
      3.27435   0.00165695   0.00331390
      3.32731   0.00173967   0.00347935
      3.38113   0.00182639   0.00365279
      3.43581   0.00191733   0.00383466
      3.49139   0.00201269   0.00402538
      3.54786   0.00211267   0.00422533
      3.60524   0.00221746   0.00443493
      3.66355   0.00232730   0.00465461
      3.72281   0.00244246   0.00488491
      3.78303   0.00256315   0.00512630
      3.84421   0.00268984   0.00537967
      3.90638   0.00282233   0.00564466
      3.96957   0.00296138   0.00592277
      4.03377   0.00310710   0.00621421
      4.09901   0.00325986   0.00651972
      4.16532   0.00341988   0.00683975
      4.23269   0.00358752   0.00717503
      4.30114   0.00376332   0.00752665
      4.37071   0.00394741   0.00789481
      4.44140   0.00414014   0.00828028
      4.51324   0.00434222   0.00868443
      4.58625   0.00455387   0.00910774
      4.66043   0.00477551   0.00955102
      4.73580   0.00500792    0.0100158
      4.81240   0.00525106    0.0105021
      4.89023   0.00550586    0.0110117
      4.96934   0.00577272    0.0115454
      5.04971   0.00605210    0.0121042
      5.13139   0.00634474    0.0126895
      5.21437   0.00665117    0.0133023
      5.29872   0.00697213    0.0139443
      5.38442   0.00730797    0.0146159
      5.47151   0.00765967    0.0153193
      5.56002   0.00802771    0.0160554
      5.64994   0.00841307    0.0168261
      5.74133   0.00881640    0.0176328
      5.83419   0.00923868    0.0184774
      5.92854   0.00968045    0.0193609
      6.02444    0.0101429    0.0202858
      6.12186    0.0106265    0.0212531
      6.22090    0.0111260    0.0222520
      6.32151    0.0116532    0.0233064
      6.42377    0.0122055    0.0244109
      6.52767    0.0127839    0.0255679
      6.63325    0.0133898    0.0267796
      6.74053    0.0140243    0.0280486
      6.84953    0.0146888    0.0293776
      6.96032    0.0153850    0.0307699
      7.07289    0.0161122    0.0322245
      7.18729    0.0168714    0.0337428
      7.30355    0.0176585    0.0353169
      7.42169    0.0184823    0.0369646
      7.54173    0.0193445    0.0386891
      7.66368    0.0202470    0.0404940
      7.78764    0.0211916    0.0423831
      7.91360    0.0221801    0.0443602
      8.04162    0.0232143    0.0464286
      8.17169    0.0242978    0.0485956
      8.30386    0.0254312    0.0508624
